,"0: Symbol, 1: bracket before, 2: bracket after, 3: remove token, 4: other, 5: two brackets, 6: remove formula",replace with,style
!,0,,n
',0,,n
(,0,,n
),0,,n
*,0,,n
+,0,,n
",",0,,n
-,0,,n
.,0,,n
/,0,,n
0,0,,n
1,0,,n
2,0,,n
3,0,,n
4,0,,n
5,0,,n
6,0,,n
7,0,,n
8,0,,n
9,0,,n
:,0,,n
;,0,,n
<,0,,n
=,0,,n
>,0,,n
A,0,,n
B,0,,n
C,0,,n
D,0,,n
E,0,,n
F,0,,n
G,0,,n
H,0,,n
I,0,,n
J,0,,n
K,0,,n
L,0,,n
M,0,,n
N,0,,n
O,0,,n
P,0,,n
Q,0,,n
R,0,,n
S,0,,n
T,0,,n
U,0,,n
V,0,,n
W,0,,n
X,0,,n
Y,0,,n
Z,0,,n
[,0,,n
\Big,3,,n
\Bigg,3,,n
\Biggr,3,,n
\Bigl,3,,n
\Bigr,3,,n
\Delta,0,,n
\Gamma,0,,n
\Lambda,0,,n
\Omega,0,,n
\Phi,0,,n
\Pi,0,,n
\Psi,0,,n
\Rightarrow,0,,n
\Sigma,0,,n
\Theta,0,,n
\Xi,0,,n
\alpha,0,,n
\approx,0,,n
\ast,0,,n
\bar,2,,n
\beta,0,,n
\bf,3,,n
\big,3,,n
\bigg,3,,n
\biggl,3,,n
\biggr,3,,n
\bigl,3,,n
\bigr,3,,n
\binom,5,,n
\boldmath,3,,n
\bot,0,,n
\cal,3,,n
\cdot,0,,n
\cdots,0,,n
\check,2,,n
\chi,0,,n
\circ,0,,n
\dag,0,,n
\dagger,0,,n
\ddot,2,,n
\delta,0,,n
\dot,2,,n
\dots,0,,n
\ell,0,,n
\epsilon,0,,n
\equiv,0,,n
\eta,0,,n
\forall,0,,n
\frac,5,,n
\gamma,0,,n
\ge,0,,n
\geq,0,\ge,n
\hat,2,,n
\hbar,2,,n
\hspace,3,,n
\imath,0,i,n
\in,0,,n
\infty,0,,n
\int,0,,n
\iota,0,,n
\it,3,,n
\jmath,0,j,n
\kappa,0,,n
\l,0,l,n
\lambda,0,,n
\langle,0,,n
\lbrack,0,[,n
\ldots,0,\dots,n
\le,0,,n
\leftrightarrow,0,,n
\leq,0,\le,n
\ll,0,,n
\longrightarrow,0,,n
\mapsto,0,,n
\mathbf,3,,n
\mathcal,2,,y
\mathrm,3,,n
\mid,0,|,n
\mp,0,,n
\mu,0,,n
\nabla,0,,n
\ne,0,,n
\neq,0,,n
\not,0,,n
\nu,0,,n
\oint,0,,n
\omega,0,,n
\operatorname,3,,n
\operatorname*,3,\operatorname,n
\oplus,0,,n
\otimes,0,,n
\overline,2,\bar,n
\overrightarrow,2,,n
\parallel,0,,n
\partial,0,,n
\perp,0,,n
\phi,0,,n
\pi,0,,n
\pm,0,,n
\prime,0,,n
\prod,0,,n
\propto,0,,n
\psi,0,,n
\rangle,0,,n
\rho,0,,n
\rightarrow,0,,n
\scriptsize,3,,n
\sigma,0,,n
\sim,0,,n
\simeq,0,,n
\sp,2,^,n
\sqrt,2,,n
\stackrel,5,,n
\star,0,^ { * },n
\subset,0,,n
\sum,0,,n
\tau,0,,n
\textrm,3,,n
\theta,0,,n
\tilde,2,,n
\times,0,,n
\to,0,,n
\triangle,0,,n
\underline,2,,n
\varepsilon,0,,n
\varphi,0,,n
\varrho,0,,n
\vartheta,0,,n
\vec,2,,n
\vert,0,|,n
\wedge,0,,n
\widehat,2,,n
\widetilde,2,,n
\xi,0,,n
\zeta,0,,n
\{,0,,n
\|,0,\parallel,n
\},0,,n
],0,,n
^,2,,n
_,2,,n
_END_,4,,n
_PAD_,4,,n
_START_,4,,n
_UNK_,4,,n
a,0,,n
b,0,,n
c,0,,n
d,0,,n
e,0,,n
f,0,,n
g,0,,n
h,0,,n
i,0,,n
j,0,,n
k,0,,n
l,0,,n
m,0,,n
n,0,,n
o,0,,n
p,0,,n
q,0,,n
r,0,,n
s,0,,n
t,0,,n
u,0,,n
v,0,,n
w,0,,n
x,0,,n
y,0,,n
z,0,,n
{,4,,n
|,0,,n
},4,,n
"\,",3,,n
\;,3,,n
\:,3,,n
~,3,,n
\nonumber,3,,n
\displaystyle,3,,n
\scriptstyle,3,,n
\scriptscriptstyle,3,,n
\textstyle,3,,n
\right,3,,n
\left,3,,n
\,3,,n
\-,3,,n
\!,3,,n
\quad,3,,n
\qquad,3,,n
\hfil,3,,n
\hfill,3,,n
\hfilll,3,,n
\vfil,3,,n
\vfill,3,,n
\vfilll,3,,n
. . .,0,\dots,n
?,0,,n
\#,0,,n
\&,0,,n
\',2,,n
\*,3,,n
\AA,0,,n
\Biggl,3,,n
\Biggm,3,,n
\Bigm,3,,n
